iter	Passed	Remaining
453	8365	10060
454	8382	10040
455	8400	10021
456	8419	10003
457	8438	9986
458	8458	9969
459	8475	9949
460	8491	9928
461	8510	9910
462	8529	9892
463	8546	9872
464	8563	9852
465	8581	9833
466	8600	9816
467	8618	9796
468	8637	9778
469	8656	9761
470	8675	9744
471	8696	9728
472	8715	9710
473	8735	9693
474	8754	9676
475	8774	9659
476	8793	9641
477	8812	9623
478	8830	9604
479	8848	9585
480	8867	9568
481	8887	9551
482	8905	9532
483	8923	9513
484	8941	9494
485	8959	9476
486	8976	9456
487	8996	9438
488	9014	9419
489	9033	9401
490	9051	9383
491	9069	9363
492	9087	9345
493	9105	9327
494	9124	9308
495	9141	9289
496	9161	9271
497	9180	9254
498	9200	9236
499	9217	9217
500	9236	9199
501	9254	9180
502	9274	9163
503	9294	9146
504	9313	9128
505	9330	9109
506	9348	9090
507	9366	9071
508	9384	9052
509	9401	9032
510	9421	9016
511	9440	8998
512	9458	8978
513	9477	8961
514	9496	8943
515	9515	8925
516	9534	8907
517	9552	8888
518	9571	8871
519	9589	8852
520	9609	8834
521	9628	8817
522	9645	8797
523	9663	8778
524	9682	8760
525	9701	8742
526	9719	8723
527	9737	8704
528	9756	8686
529	9775	8668
530	9791	8648
531	9810	8629
532	9828	8611
533	9845	8591
534	9863	8573
535	9880	8553
536	9896	8533
537	9917	8516
538	9935	8497
539	9952	8478
540	9971	8460
541	9989	8441
542	10007	8422
543	10026	8404
544	10046	8387
545	10064	8368
546	10081	8349
547	10100	8331
548	10118	8312
549	10136	8293
550	10153	8274
551	10170	8254
552	10189	8236
553	10207	8217
554	10226	8199
555	10245	8181
556	10264	8163
557	10281	8144
558	10300	8125
559	10317	8106
560	10336	8088
561	10354	8069
562	10371	8050
563	10390	8032
564	10407	8012
565	10425	7993
566	10442	7974
567	10461	7956
568	10480	7938
569	10501	7921
570	10519	7903
571	10537	7884
572	10556	7866
573	10574	7847
574	10592	7829
575	10612	7811
576	10631	7793
577	10648	7774
578	10667	7756
579	10687	7739
580	10707	7722
581	10726	7703
582	10745	7686
583	10764	7667
584	10785	7651
585	10802	7632
586	10821	7614
587	10839	7595
588	10859	7577
589	10876	7558
590	10898	7542
591	10917	7523
592	10936	7506
593	10955	7488
594	10975	7471
595	10993	7452
596	11011	7433
597	11030	7415
598	11049	7397
599	11067	7378
600	11085	7359
601	11107	7343
602	11125	7324
603	11144	7306
604	11162	7288
605	11180	7269
606	11204	7254
607	11227	7239
608	11248	7221
609	11268	7204
610	11286	7185
611	11306	7168
612	11327	7151
613	11346	7133
614	11366	7115
615	11386	7097
616	11405	7080
617	11424	7061
618	11442	7043
619	11461	7024
620	11479	7005
621	11498	6987
622	11518	6970
623	11535	6950
624	11553	6932
625	11571	6913
626	11589	6894
627	11608	6876
628	11626	6857
629	11645	6839
630	11662	6819
631	11681	6802
632	11697	6782
633	11716	6763
634	11733	6744
635	11751	6725
636	11770	6707
637	11789	6689
638	11808	6671
639	11827	6653
640	11846	6635
641	11864	6616
642	11884	6598
643	11903	6580
644	11921	6561
645	11941	6543
646	11959	6524
647	11975	6505
648	11993	6486
649	12010	6467
650	12030	6449
651	12051	6432
652	12070	6414
653	12090	6396
654	12109	6378
655	12129	6360
656	12147	6342
657	12167	6323
658	12186	6305
659	12206	6288
660	12225	6269
661	12245	6251
662	12264	6233
663	12281	6214
664	12299	6196
665	12318	6177
666	12337	6159
667	12357	6141
668	12375	6122
669	12392	6103
670	12412	6085
671	12429	6066
672	12447	6047
673	12465	6029
674	12484	6011
675	12503	5992
676	12523	5974
677	12542	5956
678	12561	5938
679	12580	5920
680	12598	5901
681	12617	5883
682	12634	5864
683	12651	5844
684	12670	5826
685	12689	5808
686	12707	5789
687	12725	5771
688	12744	5752
689	12763	5734
690	12782	5715
691	12801	5697
692	12819	5678
693	12838	5660
694	12857	5642
695	12877	5624
696	12897	5606
697	12915	5588
698	12934	5569
699	12951	5550
700	12970	5532
701	12988	5513
702	13008	5495
703	13027	5477
704	13045	5458
705	13064	5440
706	13082	5421
707	13104	5404
708	13124	5386
709	13142	5368
710	13163	5350
711	13183	5332
712	13202	5314
713	13220	5295
714	13240	5277
715	13259	5259
716	13279	5241
717	13299	5223
718	13318	5205
719	13337	5186
720	13355	5168
721	13375	5150
722	13395	5132
723	13411	5112
724	13429	5094
725	13450	5076
726	13467	5057
727	13486	5038
728	13505	5020
729	13525	5002
730	13544	4984
731	13564	4966
732	13582	4947
733	13604	4930
734	13623	4911
735	13642	4893
736	13662	4875
737	13681	4857
738	13698	4838
739	13716	4819
740	13735	4800
741	13753	4782
742	13773	4764
743	13791	4745
744	13810	4726
745	13830	4709
746	13848	4690
747	13867	4671
748	13885	4653
749	13904	4634
750	13923	4616
751	13941	4597
752	13961	4579
753	13980	4561
754	13999	4542
755	14019	4524
756	14038	4506
757	14057	4488
758	14077	4470
759	14096	4451
760	14115	4433
761	14133	4414
762	14151	4395
763	14170	4377
764	14189	4358
765	14209	4340
766	14228	4322
767	14246	4303
768	14264	4285
769	14285	4267
770	14304	4248
771	14323	4230
772	14342	4211
773	14361	4193
774	14379	4174
775	14399	4156
776	14416	4137
777	14435	4119
778	14457	4101
779	14476	4083
780	14494	4064
781	14515	4046
782	14534	4027
783	14553	4009
784	14575	3991
785	14594	3973
786	14612	3954
787	14630	3936
788	14649	3917
789	14668	3899
790	14685	3880
791	14704	3861
792	14723	3843
793	14741	3824
794	14760	3806
795	14779	3787
796	14798	3769
797	14817	3750
798	14835	3732
799	14855	3713
800	14873	3695
801	14893	3676
802	14911	3658
803	14929	3639
804	14947	3620
805	14965	3602
806	14985	3584
807	15007	3566
808	15027	3547
809	15046	3529
810	15068	3511
811	15088	3493
812	15109	3475
813	15131	3457
814	15150	3439
815	15170	3420
816	15188	3402
817	15207	3383
818	15226	3365
819	15244	3346
820	15265	3328
821	15286	3310
822	15305	3291
823	15327	3273
824	15349	3256
825	15371	3238
826	15392	3219
827	15412	3201
828	15432	3183
829	15452	3165
830	15471	3146
831	15491	3128
832	15513	3110
833	15535	3092
834	15554	3073
835	15575	3055
836	15596	3037
837	15615	3018
838	15635	3000
839	15657	2982
840	15675	2963
841	15696	2945
842	15717	2927
843	15738	2908
844	15758	2890
845	15779	2872
846	15800	2854
847	15819	2835
848	15840	2817
849	15861	2799
850	15881	2780
851	15903	2762
852	15922	2743
853	15942	2725
854	15964	2707
855	15985	2689
856	16003	2670
857	16021	2651
858	16041	2633
859	16061	2614
860	16079	2595
861	16098	2577
862	16118	2558
863	16137	2540
864	16158	2521
865	16177	2503
866	16199	2484
867	16221	2466
868	16239	2448
869	16259	2429
870	16279	2411
871	16300	2392
872	16319	2374
873	16338	2355
874	16359	2337
875	16380	2318
876	16399	2299
877	16418	2281
878	16439	2262
879	16460	2244
880	16480	2226
881	16499	2207
882	16520	2188
883	16539	2170
884	16559	2151
885	16578	2133
886	16598	2114
887	16619	2096
888	16638	2077
889	16658	2058
890	16677	2040
891	16696	2021
892	16715	2002
893	16736	1984
894	16757	1965
895	16777	1947
896	16798	1928
897	16819	1910
898	16839	1891
899	16860	1873
900	16880	1854
901	16900	1836
902	16919	1817
903	16940	1798
904	16959	1780
905	16977	1761
906	16998	1742
907	17018	1724
908	17038	1705
909	17058	1687
910	17079	1668
911	17100	1650
912	17120	1631
913	17141	1612
914	17160	1594
915	17180	1575
916	17200	1556
917	17220	1538
918	17238	1519
919	17259	1500
920	17279	1482
921	17299	1463
922	17321	1445
923	17342	1426
924	17364	1407
925	17383	1389
926	17403	1370
927	17422	1351
928	17439	1332
929	17459	1314
930	17480	1295
931	17500	1276
932	17519	1258
933	17538	1239
934	17559	1220
935	17581	1202
936	17601	1183
937	17622	1164
938	17643	1146
939	17663	1127
940	17682	1108
941	17702	1089
942	17721	1071
943	17740	1052
944	17761	1033
945	17780	1014
946	17801	996
947	17821	977
948	17840	958
949	17860	940
950	17882	921
951	17901	902
952	17920	883
953	17937	864
954	17958	846
955	17978	827
956	17998	808
957	18016	789
958	18037	771
959	18056	752
960	18075	733
961	18096	714
962	18117	696
963	18136	677
964	18157	658
965	18177	639
966	18197	621
967	18217	602
968	18238	583
969	18258	564
970	18279	545
971	18300	527
972	18321	508
973	18342	489
974	18363	470
975	18383	452
976	18405	433
977	18429	414
978	18448	395
979	18467	376
980	18487	358
981	18510	339
982	18531	320
983	18550	301
984	18573	282
985	18593	264
986	18613	245
987	18635	226
988	18657	207
989	18679	188
990	18697	169
991	18717	150
992	18737	132
993	18756	113
994	18776	94
995	18795	75
996	18816	56
997	18836	37
998	18854	18
999	18874	0
