iter	RMSE
0	0.1520663973
1	0.1392674053
2	0.1279933526
3	0.1180730865
4	0.1095152777
5	0.1019989213
6	0.0955427868
7	0.08989013265
8	0.08505223511
9	0.08097876112
10	0.07749955358
11	0.07452287602
12	0.07204541589
13	0.06997341791
14	0.06823396533
15	0.06677681766
16	0.06556777532
17	0.06456679123
18	0.06371759847
19	0.06300874187
20	0.06242215904
21	0.06184221681
22	0.0614084938
23	0.06096299399
24	0.06057889379
25	0.06026394956
26	0.06001604711
27	0.05981221717
28	0.05958088926
29	0.05941038468
30	0.05926426998
31	0.05911386097
32	0.05898796773
33	0.05884588772
34	0.05873505188
35	0.05864784565
36	0.05857740976
37	0.05848026704
38	0.05842492827
39	0.0583588833
40	0.0582831269
41	0.05821963197
42	0.05818057262
43	0.05811958423
44	0.05808153414
45	0.05803922093
46	0.05799616151
47	0.05796878745
48	0.05793563208
49	0.05791039975
50	0.05786765396
51	0.05783143561
52	0.05781379963
53	0.057781845
54	0.05776046255
55	0.05772504697
56	0.05769460997
57	0.05766466033
58	0.05764392543
59	0.05761692514
60	0.0575954932
61	0.05757292467
62	0.05755853519
63	0.05754043176
64	0.0575228781
65	0.05749503952
66	0.05748086611
67	0.05746774198
68	0.05744965078
69	0.05743344792
70	0.05740912727
71	0.05738862811
72	0.05737899484
73	0.05735758782
74	0.05734518391
75	0.05733626011
76	0.0573202653
77	0.05730731783
78	0.05729348441
79	0.05728323383
80	0.05727152526
81	0.05725169033
82	0.05723237313
83	0.05721590172
84	0.05720015338
85	0.05718871906
86	0.05717451848
87	0.05716521043
88	0.05715607804
89	0.05714173168
90	0.05712985729
91	0.0571199238
92	0.05710923092
93	0.05709846118
94	0.0570872585
95	0.05707564591
96	0.05706633587
97	0.05705719895
98	0.05704909273
99	0.05703723262
100	0.05703074527
101	0.05702590474
102	0.05702167768
103	0.05700993082
104	0.05699660938
105	0.0569874962
106	0.05697762022
107	0.05697311555
108	0.0569631772
109	0.05695307396
110	0.0569440143
111	0.05693553933
112	0.05692634723
113	0.05691886022
114	0.05691460968
115	0.05690650447
116	0.05690029895
117	0.05689615838
118	0.05688898027
119	0.05688387204
120	0.05687679768
121	0.05686896231
122	0.0568640603
123	0.05686110338
124	0.05685498458
125	0.05684993673
126	0.05684601031
127	0.05683870131
128	0.05683262768
129	0.05682708412
130	0.05682159186
131	0.05681449405
132	0.05680919459
133	0.05680456017
134	0.05679855031
135	0.0567952107
136	0.0567923123
137	0.05678685075
138	0.05678426049
139	0.05677865097
140	0.0567741742
141	0.05677099197
142	0.05676228511
143	0.05675580975
144	0.0567499445
145	0.05674441515
146	0.05673950867
147	0.05673433993
148	0.05672885253
149	0.05672425402
150	0.05671916886
151	0.05671727503
152	0.05671302486
153	0.05671000995
154	0.05670633658
155	0.05670232461
156	0.05669770906
157	0.05669255874
158	0.05668707742
159	0.0566826289
160	0.05667915119
161	0.05667576531
162	0.05667326432
163	0.05667028836
164	0.05666649796
165	0.05666206687
166	0.05665846838
167	0.05665417025
168	0.05664921977
169	0.05664630791
170	0.05664317493
171	0.0566370858
172	0.05663526758
173	0.05663169748
174	0.05662887494
175	0.05662696553
176	0.05662320394
177	0.05662046669
178	0.05661625427
179	0.05661343596
180	0.05661020497
181	0.05660607214
182	0.05660310553
183	0.05660015265
184	0.0565952546
185	0.0565934931
186	0.05659158481
187	0.05658947063
188	0.05658660259
189	0.0565840685
190	0.0565820345
191	0.05657824958
192	0.05657530995
193	0.05657140644
194	0.05656773525
195	0.05656598469
196	0.05656384683
197	0.05656135615
198	0.05655665607
199	0.05655419046
200	0.05655206962
201	0.05654926711
202	0.05654545305
203	0.05654305792
204	0.05653963653
205	0.05653616539
206	0.05653385195
207	0.05653004565
208	0.05652756333
209	0.05652365037
210	0.05652112424
211	0.05651898202
212	0.05651764266
213	0.05651523246
214	0.05651339769
215	0.05651135881
216	0.05650904754
217	0.05650643491
218	0.05650392849
219	0.05650023154
220	0.05649859771
221	0.05649601914
222	0.05649353162
223	0.05649147682
224	0.05648868492
225	0.05648632306
226	0.05648455883
227	0.05648228581
228	0.05648017905
229	0.05647787531
230	0.05647569605
231	0.05647364076
232	0.05647083166
233	0.05646828663
234	0.05646605843
235	0.05646224294
236	0.05645837834
237	0.05645572249
238	0.05645216625
239	0.0564476094
240	0.05644469869
241	0.05644369827
242	0.05644148868
243	0.05643843701
244	0.05643661286
245	0.05643433397
246	0.05643091555
247	0.0564291746
248	0.05642707545
249	0.05642494727
250	0.05642336711
251	0.0564221097
252	0.05642011986
253	0.05641878223
254	0.05641698271
255	0.05641441999
256	0.0564130084
257	0.05641128076
258	0.05640986503
259	0.05640779527
260	0.05640536653
261	0.05640373466
262	0.05640223141
263	0.05639877612
264	0.05639719851
265	0.05639518262
266	0.05639229285
267	0.05639001264
268	0.05638787945
269	0.05638678781
270	0.05638604598
271	0.05638468924
272	0.05638296775
273	0.05638156814
274	0.05637989792
275	0.05637831559
276	0.05637697793
277	0.05637447784
278	0.05637193155
279	0.05637042658
280	0.05636879646
281	0.05636736346
282	0.05636540935
283	0.05636412029
284	0.05636250108
285	0.0563614541
286	0.05635939424
287	0.05635762161
288	0.05635515318
289	0.05635372784
290	0.05635203448
291	0.05634995821
292	0.05634846633
293	0.05634726743
294	0.0563457609
295	0.056344462
296	0.05634333133
